Name,Assessment Link,Remote testing,Adaptive/IRT,Test Type,Duration (min)
Account Manager Solution,https://www.shl.com/solutions/products/product-catalog/view/account-manager-solution/,True,True,"['C', 'P', 'A', 'B']",49
Administrative Professional - Short Form,https://www.shl.com/solutions/products/product-catalog/view/administrative-professional-short-form/,True,True,"['A', 'K', 'P']",36
Agency Manager Solution,https://www.shl.com/solutions/products/product-catalog/view/agency-manager-solution/,True,True,"['A', 'B', 'P', 'S']",51
Apprentice + 8.0 Job Focused Assessment,https://www.shl.com/solutions/products/product-catalog/view/apprentice-8-0-job-focused-assessment-4261/,True,False,"['B', 'P']",30
Apprentice 8.0 Job Focused Assessment,https://www.shl.com/solutions/products/product-catalog/view/apprentice-8-0-job-focused-assessment/,True,False,"['B', 'P']",20
Bank Administrative Assistant - Short Form,https://www.shl.com/solutions/products/product-catalog/view/bank-administrative-assistant-short-form/,True,False,"['A', 'B', 'K', 'P']",35
Bank Collections Agent - Short Form,https://www.shl.com/solutions/products/product-catalog/view/bank-collections-agent-short-form/,True,False,"['A', 'B', 'P']",45
Bank Operations Supervisor - Short Form,https://www.shl.com/solutions/products/product-catalog/view/bank-operations-supervisor-short-form/,True,True,"['A', 'B', 'P', 'S']",45
Bilingual Spanish Reservation Agent Solution,https://www.shl.com/solutions/products/product-catalog/view/bilingual-spanish-reservation-agent-solution/,True,True,"['B', 'P', 'S', 'A']",43
"Bookkeeping, Accounting, Auditing Clerk Short Form",https://www.shl.com/solutions/products/product-catalog/view/bookkeeping-accounting-auditing-clerk-short-form/,True,True,"['P', 'S', 'K', 'B', 'A']",49
Branch Manager - Short Form,https://www.shl.com/solutions/products/product-catalog/view/branch-manager-short-form/,True,False,"['A', 'B', 'P']",50
Cashier Solution,https://www.shl.com/solutions/products/product-catalog/view/cashier-solution/,True,True,"['B', 'A', 'P']",28
Branch Manager - Short Form,https://www.shl.com/solutions/products/product-catalog/view/branch-manager-short-form/,True,False,"['A', 'B', 'P']",50
Cashier Solution,https://www.shl.com/solutions/products/product-catalog/view/cashier-solution/,True,True,"['B', 'A', 'P']",28
Claims/Operations Supervisor Solution,https://www.shl.com/solutions/products/product-catalog/view/claimsoperations-supervisor-solution/,True,True,"['P', 'S', 'A', 'B']",48
Contact Center Customer Service + 8.0,https://www.shl.com/solutions/products/product-catalog/view/contact-center-customer-service-8-0/,True,False,"['A', 'B', 'C', 'P', 'S']",41
Contact Center Customer Service 8.0,https://www.shl.com/solutions/products/product-catalog/view/contact-center-customer-service-8-0-4269/,True,False,"['S', 'B', 'C', 'P']",31
Contact Center Manager - Short Form,https://www.shl.com/solutions/products/product-catalog/view/contact-center-manager-short-form/,True,True,"['A', 'B', 'P', 'S']",50
Contact Center Sales & Service + 8.0,https://www.shl.com/solutions/products/product-catalog/view/contact-center-sales-and-service-8-0/,True,False,"['P', 'B', 'C', 'A', 'S']",41
Contact Center Sales & Service 8.0,https://www.shl.com/solutions/products/product-catalog/view/contact-center-sales-and-service-8-0-4268/,True,False,"['S', 'B', 'C', 'P']",31
Contact Center Team Lead/Coach - Short Form,https://www.shl.com/solutions/products/product-catalog/view/contact-center-team-leadcoach-short-form/,True,True,"['A', 'B', 'P', 'S']",45
Contact Centre Agent Solution - UK,https://www.shl.com/solutions/products/product-catalog/view/contact-centre-agent-solution-uk/,True,False,"['A', 'B', 'P', 'S']",39
Customer Service - Short Form,https://www.shl.com/solutions/products/product-catalog/view/customer-service-short-form/,True,True,"['A', 'B', 'P']",42
Customer Service - Short Form - UK,https://www.shl.com/solutions/products/product-catalog/view/customer-service-short-form-uk/,True,True,"['A', 'B', 'P']",42
Customer Service - Short Form,https://www.shl.com/solutions/products/product-catalog/view/customer-service-short-form/,True,True,"['A', 'B', 'P']",42
Customer Service - Short Form - UK,https://www.shl.com/solutions/products/product-catalog/view/customer-service-short-form-uk/,True,True,"['A', 'B', 'P']",42
Customer Service with Sales - Short Form,https://www.shl.com/solutions/products/product-catalog/view/customer-service-with-sales-short-form/,True,True,"['A', 'B', 'P']",44
Director - Short Form,https://www.shl.com/solutions/products/product-catalog/view/director-short-form/,True,True,"['A', 'B', 'P']",69
District/Regional Manager Solution,https://www.shl.com/solutions/products/product-catalog/view/districtregional-manager-solution/,True,True,"['A', 'B', 'P']",65
Entry Level Cashier 7.1 (Americas),https://www.shl.com/solutions/products/product-catalog/view/entry-level-cashier-7-1-%28americas%29/,True,False,"['B', 'P', 'A']",18
Entry Level Cashier 7.1 (International),https://www.shl.com/solutions/products/product-catalog/view/entry-level-cashier-7-1-%28international%29/,True,False,"['A', 'B', 'P']",18
Entry Level Customer Service 7.1 (Americas),https://www.shl.com/solutions/products/product-catalog/view/entry-level-customer-service-7-1-%28americas%29/,True,False,"['C', 'P']",19
Entry Level Customer Service 7.1 (International),https://www.shl.com/solutions/products/product-catalog/view/entry-level-customer-service-%28retail-and-cc%29-7-1/,True,False,"['C', 'P']",19
Entry Level Customer Service 7.1 (South Africa),https://www.shl.com/solutions/products/product-catalog/view/entry-level-customer-service-7-1-%28south-africa%29/,True,False,"['C', 'P']",19
Entry level Sales 7.1 (Americas),https://www.shl.com/solutions/products/product-catalog/view/entry-level-sales-7-1-%28americas%29/,True,False,"['B', 'C', 'P']",20
Entry level Sales 7.1 (International),https://www.shl.com/solutions/products/product-catalog/view/entry-level-sales-7-1/,True,False,"['P', 'B', 'C']",20
Entry level Sales 7.1 (Americas),https://www.shl.com/solutions/products/product-catalog/view/entry-level-sales-7-1-%28americas%29/,True,False,"['B', 'C', 'P']",20
Entry level Sales 7.1 (International),https://www.shl.com/solutions/products/product-catalog/view/entry-level-sales-7-1/,True,False,"['P', 'B', 'C']",20
